Type,Name,Description,File,Module/Class,Line Number,Severity
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.importer_test.ImportGraphDefTest' has 31 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/framework/importer_test.py,tensorflow.python.framework.importer_test.ImportGraphDefTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.ops.Graph' has 33 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/framework/ops.py,tensorflow.python.framework.ops.Graph,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.tensor_shape.TensorShape' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/framework/tensor_shape.py,tensorflow.python.framework.tensor_shape.TensorShape,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.tensor_util_test.TensorUtilTest' has 29 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/framework/tensor_util_test.py,tensorflow.python.framework.tensor_util_test.TensorUtilTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.batch_matmul_op_test.BatchMatmulOpTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/batch_matmul_op_test.py,tensorflow.python.kernel_tests.batch_matmul_op_test.BatchMatmulOpTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.reduction_ops_test.SumReductionTest' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/reduction_ops_test.py,tensorflow.python.kernel_tests.reduction_ops_test.SumReductionTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.variable_ops_test.VariableOpTest' has 24 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/variable_ops_test.py,tensorflow.python.kernel_tests.variable_ops_test.VariableOpTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.constant_op_test.ConstantTest' has 21 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/constant_op_test.py,tensorflow.python.kernel_tests.constant_op_test.ConstantTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.attention_ops_test.ExtractGlimpseTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/attention_ops_test.py,tensorflow.python.kernel_tests.attention_ops_test.ExtractGlimpseTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.cwise_ops_test.UnaryOpTest' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/cwise_ops_test.py,tensorflow.python.kernel_tests.cwise_ops_test.UnaryOpTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.cwise_ops_test.BinaryOpTest' has 84 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/cwise_ops_test.py,tensorflow.python.kernel_tests.cwise_ops_test.BinaryOpTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.cwise_ops_test.ComparisonOpTest' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/cwise_ops_test.py,tensorflow.python.kernel_tests.cwise_ops_test.ComparisonOpTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.fifo_queue_test.FIFOQueueTest' has 53 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/fifo_queue_test.py,tensorflow.python.kernel_tests.fifo_queue_test.FIFOQueueTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.random_shuffle_queue_test.RandomShuffleQueueTest' has 50 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/random_shuffle_queue_test.py,tensorflow.python.kernel_tests.random_shuffle_queue_test.RandomShuffleQueueTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.kernel_tests.lookup_table_op_test.HashTableOpTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/0.5.0/tensorflow/python/kernel_tests/lookup_table_op_test.py,tensorflow.python.kernel_tests.lookup_table_op_test.HashTableOpTest,,Medium
