Type,Name,Description,File,Module/Class,Line Number,Severity
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.compatibility.tf_upgrade_test.TestUpgrade' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/compatibility/tf_upgrade_test.py,tensorflow.tools.compatibility.tf_upgrade_test.TestUpgrade,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.docs.parser_test.ParserTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/docs/parser_test.py,tensorflow.tools.docs.parser_test.ParserTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.docs.generate_lib.DocGenerator' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/docs/generate_lib.py,tensorflow.tools.docs.generate_lib.DocGenerator,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.docs.parser.ReferenceResolver' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/docs/parser.py,tensorflow.tools.docs.parser.ReferenceResolver,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.docs.parser._ClassPageInfo' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/docs/parser.py,tensorflow.tools.docs.parser._ClassPageInfo,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.docs.parser._ModulePageInfo' has 12 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/docs/parser.py,tensorflow.tools.docs.parser._ModulePageInfo,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.quantization.quantize_graph_test.QuantizeGraphTest' has 29 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/quantization/quantize_graph_test.py,tensorflow.tools.quantization.quantize_graph_test.QuantizeGraphTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.quantization.quantize_graph.GraphRewriter' has 29 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/tools/quantization/quantize_graph.py,tensorflow.tools.quantization.quantize_graph.GraphRewriter,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.activations_test.KerasActivationsTest' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/activations_test.py,tensorflow.python.keras._impl.keras.activations_test.KerasActivationsTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.models.Sequential' has 27 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/models.py,tensorflow.python.keras._impl.keras.models.Sequential,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.callbacks_test.KerasCallbacksTest' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/callbacks_test.py,tensorflow.python.keras._impl.keras.callbacks_test.KerasCallbacksTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.initializers_test.KerasInitializersTest' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/initializers_test.py,tensorflow.python.keras._impl.keras.initializers_test.KerasInitializersTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.backend_test.BackendUtilsTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/backend_test.py,tensorflow.python.keras._impl.keras.backend_test.BackendUtilsTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.backend_test.BackendVariableTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/backend_test.py,tensorflow.python.keras._impl.keras.backend_test.BackendVariableTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.backend_test.BackendShapeOpsTest' has 12 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/backend_test.py,tensorflow.python.keras._impl.keras.backend_test.BackendShapeOpsTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.layers.lstm_test.LSTMLayerTest' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/layers/lstm_test.py,tensorflow.python.keras._impl.keras.layers.lstm_test.LSTMLayerTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.keras._impl.keras.engine.topology_test.TopologyConstructionTest' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.4.0-rc0/tensorflow/python/keras/_impl/keras/engine/topology_test.py,tensorflow.python.keras._impl.keras.engine.topology_test.TopologyConstructionTest,,High
